codigo	descricao	codigo_grupo	id	offset	item_filename
5459	OUTROS TIPOS ESPECIAIS DE SERVIÇOS DE CONSTRUÇÃO                                                                        	545	5459	0	servicos.classes
5461	SERVIÇOS DE INSTALAÇÃO ELÉTRICA, DE CABOS, ALARMES, ANTENAS E OUTROS DISPOSITIVOS ELÉTRICOS                             	546	5461	0	servicos.classes
5462	SERVIÇOS DE ENCANAMENTO E CONSTRUÇÃO DE CANAIS/DRENOS                                                                   	546	5462	0	servicos.classes
5463	SERVIÇOS DE INSTALAÇÃO DE CALEFAÇÃO/AQUECEDOR, VENTILAÇÃO E AR CONDICIONADO                                             	546	5463	0	servicos.classes
5464	SERVIÇOS DE INSTALAÇÃO/MONTAGEM DE SISTEMAS DE GÁS                                                                      	546	5464	0	servicos.classes
5465	SERVIÇOS DE ISOLAMENTO                                                                                                  	546	5465	0	servicos.classes
5469	OUTROS SERVIÇOS DE INSTALAÇÃO                                                                                           	546	5469	0	servicos.classes
5471	SERVIÇOS DE INSTALAÇÃO DE VIDROS                                                                                        	547	5471	0	servicos.classes
5472	SERVIÇOS DE GESSO                                                                                                       	547	5472	0	servicos.classes
5473	SERVIÇOS DE PINTURA                                                                                                     	547	5473	0	servicos.classes
5474	SERVIÇOS DE COLOCAÇÃO DE AZULEIJOS E CERÂMICAS DE PISO                                                                  	547	5474	0	servicos.classes
5475	OUTROS SERVIÇOS DE COLOCAÇÃO DE ASSOALHOS,REVESTIMENTO DE PAREDE E PAPEL DE PAREDE                                      	547	5475	0	servicos.classes
5476	SERVIÇOS DE CARPINTARIA E SERRALHERIA                                                                                   	547	5476	0	servicos.classes
5477	SERVIÇOS DE CERCAS E GRADES                                                                                             	547	5477	0	servicos.classes
5479	OUTROS SERVIÇOS DE ACABAMENTO E FINALIZAÇÃO DE EDIFÍCIOS                                                                	547	5479	0	servicos.classes
5480	SERVIÇOS DE ALUGUEL DE EQUIPAMENTO PARA CONSTRUÇÃO OU DEMOLIÇÃO DE EDIFÍCIOS OU PARA OBRAS DE ENG.CIVIL COM OPERADOR    	548	5480	0	servicos.classes
6111	SERVIÇO DO COMÉRCIO POR ATACADO,EXCETO POR COMISSÃO OU POR  CONTRATO,DE MATÉRIAS PRIMAS AGRÍCOLAS E ANIMAIS VIVOS       	611	6111	0	servicos.classes
6112	SERVIÇO DO COMÉRCIO POR ATACADO,EXCETO POR COMISSÃO OU PO   CONTRATO,DE COMIDAS,BEBIDAS E TABACO                        	611	6112	0	servicos.classes
6113	SERVIÇO DO COMÉRCIO POR ATACADO,EXCETO POR COMISSÃO OU PO   CONTRATO,DE ARTIGOS TÊXTEIS,ROUPAS DE VESTIR E CALÇADOS     	611	6113	0	servicos.classes
6114	SERVIÇO DO COMÉRCIO POR ATACADO,EXCETO POR COMISSÃO OU PO   CONTRATO,DE DISPOSITIVOS,ARTIGOS E EQUIPAMENTOS DOMÉSTICOS  	611	6114	0	servicos.classes
6115	SERVIÇO DO COMÉRCIO POR ATACADO,EXCETO POR COMISSÃO OU PO   CONTRATO,DE BENS DE CONSUMO DIVERSOS                        	611	6115	0	servicos.classes
6116	SERVIÇO DO COMÉRCIO POR ATACADO,EXCETO POR COMISSÃO OU PO   CONTRATO,DE MATERIAIS E FERRAGENS DE CONSTRUÇÃO             	611	6116	0	servicos.classes
6117	SERVIÇO DO COMÉRCIO POR ATACADO,EXCETO POR COMISSÃO OU PO   CONTRATO,DE PRODUTOS QUÍMICOS E FARMACÊUTICOS               	611	6117	0	servicos.classes
6118	SERVIÇO DO COMÉRCIO POR ATACADO,EXCETO POR COMISSÃO OU PO   CONTRATO,DE MAQUINARIA,EQUIPAMENTOS E SUPRIMENTOS           	611	6118	0	servicos.classes
6119	SERVIÇO DO COMÉRCIO POR ATACADO,EXCETO POR COMISSÃO OU PO   CONTRATO,DE OUTROS PRODUTOS                                 	611	6119	0	servicos.classes
6121	SERVIÇOS DO COMÉRCIO POR ATACADO PRESTADO POR COMISSÃO OU   POR CONTRATO,DE MATÉRIAS PRIMAS AGRÍCOLAS E ANIMAIS VIVOS   	612	6121	0	servicos.classes
6122	SERVIÇOS DO COMÉRCIO ATACADISTA, POR COMISSÃO/CONTRATO DE   COMIDAS, CARNES, AVES, PESCA, LATICÍNIOS, TABACO E OUTROS   	612	6122	0	servicos.classes
6123	SERVIÇOS DO COMÉRCIO POR ATACADO PRESTADO POR COMISSÃO OU   POR CONTRATO,DE ARTIGOS TÊXTEIS,ROUPAS DE VESTIR E CALÇADOS 	612	6123	0	servicos.classes
6124	SERVIÇOS DO COMÉRCIO POR ATACADO PRESTADO POR COMISSÃO OU   CONTRATO,DE DISPOSITIVOS,ARTIGOS E EQUIPAMENTOS DOMÉSTICOS  	612	6124	0	servicos.classes
6125	SERVIÇOS DO COMÉRCIO POR ATACADO PRESTADO POR COMISSÃO OU   POR CONTRATO,DE BENS DE CONSUMO DIVERSOS                    	612	6125	0	servicos.classes
6126	SERVIÇOS DO COMÉRCIO POR ATACADO PRESTADO POR COMISSÃO OU   POR CONTRATO,DE MATERIAIS E FERRAGENS DE CONSTRUÇÃO         	612	6126	0	servicos.classes
6127	SERVIÇOS DO COMÉRCIO POR ATACADO PRESTADO POR COMISSÃO OU   POR CONTRATO,DE PRODUTOS QUÍMICOS E FARMACÊUTICOS           	612	6127	0	servicos.classes
6128	SERVIÇOS DO COMÉRCIO POR ATACADO PRESTADO POR COMISSÃO OU   POR CONTRATO,DE MAQUINARIA,EQUIPAMENTOS E SUPRIMENTOS       	612	6128	0	servicos.classes
6129	SERVIÇOS DO COMÉRCIO POR ATACADO PRESTADO POR COMISSÃO OU   POR CONTRATO,DE OUTROS PRODUTOS                             	612	6129	0	servicos.classes
6229	SERVIÇOS DO COMÉRCIO DE VAREJO EM LOJAS ESPECIALIZADAS                                                                  	622	6229	0	servicos.classes
6242	OUTROS SERVIÇOS DO COMÉRCIO DE VAREJO DE COMIDAS, DE BEBIDASE TABACO SEM INTERVENÇÃO DE LOJAS                           	624	6242	0	servicos.classes
6311	SERVIÇOS DE ALOJAMENTO EM HOTEIS E MOTEIS                                                                               	631	6311	0	servicos.classes
6319	OUTROS SERVIÇOS DE ALOJAMENTO                                                                                           	631	6319	0	servicos.classes
6321	SERVIÇOS DE FORNECIMENTO DE REFEIÇÃO COM SERVIÇO COMPLETO DERESTAURANTE                                                 	632	6321	0	servicos.classes
6322	SERVIÇOS DE FORNECIMENTO DE REFEIÇÕES EM ESTABELECIMENTO DE AUTOSERVIÇO/SELF-SERVICE                                    	632	6322	0	servicos.classes
6323	SERVIÇOS DE FORNECEDOR, FORNECENDO REFEIÇÕES POR ENCOMENDA  EXTERNAMENTE                                                	632	6323	0	servicos.classes
6329	OUTROS SERVIÇOS DE FORNECIMENTO DE COMIDA                                                                               	632	6329	0	servicos.classes
6410	SERVIÇOS DE TRANSPORTE TERRESTRE DE COMBINADAS MODALIDADES                                                              	641	6410	0	servicos.classes
6411	TRANSPORTE DE CARGA - INTERNACIONAL                                                                                     	641	6411	0	servicos.classes
6421	SERVIÇOS DE TRANSPORTE FERROVIÁRIO DE PASSAGEIROS, URBANO / SUBURBANO,INTERUBANO/INTERESTADUAL                          	642	6421	0	servicos.classes
6422	SERVIÇOS DE TRANSPORTE FERROVIÁRIO DE CARGA, POR VAGÃO REFRIGERADO, VAGÃO TANQUE, EM CONTAINERS EM VAGÕES PLANO E OUTROS	642	6422	0	servicos.classes
6423	SERVIÇOS FERROVIÁRIOS DE TRAÇÃO OU REBOQUE                                                                              	642	6423	0	servicos.classes
6431	SERVIÇOS REGULAR/PROGRAMADO DE TRANSPORTE RODOVIÁRIO DE PAS-SAGEIROS, URBANO/SUBURBANO/INTERURBANO                      	643	6431	0	servicos.classes
6432	SERVIÇOS DE TRANSPORTE RODOVIÁRIO DE PASSAGEIROS NÃO PROGRA-MADO                                                        	643	6432	0	servicos.classes
6433	SERVIÇOS DE TRANSPORTE RODOVIÁRIO DE CARGA, POR VEÍCULOS RE-FRIGERADOS, CAMINHÕES TANQUE E OUTROS TIPOS                 	643	6433	0	servicos.classes
6434	SERVIÇOS DE ENTREGAS LOCAIS/URBANAS VARIADAS                                                                            	643	6434	0	servicos.classes
6435	SERVIÇOS DE ALUGUEL DE CAMINHÕES COM OPERADOR/MOTORISTA                                                                 	643	6435	0	servicos.classes
6441	SERVIÇOS DE TRANSPORTE VIA TUBULAÇÃO DE PRETRÓLEO E GÁS NATURAL                                                         	644	6441	0	servicos.classes
6449	SERVIÇOS DE TRANSPORTE VIA TUBULAÇÃO DE OUTROS PRODUTOS/BENS                                                            	644	6449	0	servicos.classes
6512	SERVIÇOS DE TRANSPORTE MARÍTIMO/COSTEIRO E TRANSOCEÂNICO DE CARGA                                                       	651	6512	0	servicos.classes
6522	SERVIÇOS DE TRANSPORTE FLUVIAL/INTERIOR DE CARGA                                                                        	652	6522	0	servicos.classes
6719	OUTROS SERVIÇOS DE MOVIMENTAÇÃO DE CARGA                                                                                	671	6719	0	servicos.classes
6721	SERVIÇOS DE ARMAZENAGEM                                                                                                 	672	6721	0	servicos.classes
6729	OUTROS SERVIÇOS DE ARMAZENAMENTO OU DE ARMAZENAGEM                                                                      	672	6729	0	servicos.classes
6740	SERVIÇOS DE SUPORTE PARA TRANSPORTE FERROVIÁRIO                                                                         	674	6740	0	servicos.classes
6762	SERVIÇOS DE PRATICAGEM E ATRACAÇÃO                                                                                      	676	6762	0	servicos.classes
6771	SERVIÇOS DE ADMINISTRAÇÃO AEROPORTUÁRIA                                                                                 	677	6771	0	servicos.classes
6779	OUTROS SUPORTES E SERVIÇOS PARA O TRANSPORTE AÉREO OU ESPACIAL                                                          	677	6779	0	servicos.classes
6781	SERVIÇOS DE AGÊNCIA DE VIAGENS E OPERADORAS DE TURISMO                                                                  	678	6781	0	servicos.classes
6782	SERVIÇOS DE GUIAS TURÍSTICOS                                                                                            	678	6782	0	servicos.classes
6791	SERVIÇOS DE AGENCIAMENTO DE TRANSPORTE DE CARGA E OUTROS SERVIÇOS AUXILIARES DE TRANSPORTE                              	679	6791	0	servicos.classes
6799	OUTROS SERVIÇOS AUXILIARES DE TRANSPORTE N.C.P                                                                          	679	6799	0	servicos.classes
6811	SERVIÇOS POSTAL E DE CORREIO                                                                                            	681	6811	0	servicos.classes
6911	SERVIÇOS DE TRANSMISSÃO E DISTRIBUIÇÃO DE ELETRICIDADE                                                                  	691	6911	0	servicos.classes
6912	SERVIÇOS DE DISTRIBUIÇÃO DE GÁS ATRAVÉS DE TUBULAÇÃO                                                                    	691	6912	0	servicos.classes
6921	SERVIÇOS DE DISTRIBUIÇÃO DE ÁGUA ATRAVÉS DE TUBULAÇÃO,EXCETOVAPOR E ÁGUA QUENTE                                         	692	6921	0	servicos.classes
6922	SERVIÇOS DE DISTRIBUIÇÃO DE VAPOR E ÁGUA QUENTE ATRAVÉS DE  TUBULAÇÃO                                                   	692	6922	0	servicos.classes
6923	SERVIÇOS DE DISTRIBUIÇÃO DE ÁGUA ATRAVÉS DE TUBULAÇÃO                                                                   	692	6923	0	servicos.classes
6929	OUTROS SERVIÇOS DE FORNECIMENTO E DISTRIBUIÇÃO DE ÁGUA                                                                  	692	6929	0	servicos.classes
